subbasin,precip,maat
X1,806.117142857143,8.83098666495567
X2,792.592142857143,8.90138615486617
X3,816.001428571429,8.74685871750452
X4,948.592857142857,7.96622817683103
X5,923.331071428571,8.08543086522729
X6,859.098214285714,8.45043860746634
X7,796.573214285714,8.90273163891651
X8,818.071071428571,8.83609717632842
X9,910.440357142857,8.18084953428935
X10,870.944285714286,8.42959179739715
X11,1203.78857142857,7.17740995369628
X12,797.373928571429,8.9321411247634
X13,893.738214285714,8.33188382631292
X14,803.887857142857,8.88186605338295
X15,815.803571428571,8.85042457733149
X16,829.986071428571,8.72070483515661
X17,1216.83428571429,7.17485858650669
X18,800.171785714286,8.91974553270668
X19,807.635357142857,8.89461224107878
X20,824.791071428571,8.78453428400329
X21,994.0725,7.75197401965502
X22,804.312857142857,8.87654315442773
X23,1217.98321428571,7.22882007047149
X24,808.874642857143,8.81961169837349
X25,1274.97214285714,6.91167413354293
X26,804.402857142857,8.91830279212516
X27,961.632142857143,7.9293752873932
X28,1193.38,7.42008734347096
X29,907.367857142857,8.28386863858501
X30,800.146428571429,8.95025756311957
X31,798.861071428571,8.9158619871034
X32,1233.90535714286,7.40581193523895
X33,790.804285714286,8.98939435693433
X34,1206.10535714286,7.44687318340765
X35,798.984285714286,8.95761748099195
X36,793.643214285714,8.98218528974581
X37,923.8075,8.220014898998
X38,885.027857142857,8.46313625110947
X39,785.090714285714,9.04141416701421
X40,801.295714285714,8.9560092821319
X41,838.820357142857,8.74653595222055
X42,1007.2275,7.73739686460706
X43,1225.31928571429,7.29912557077626
X44,977.056428571429,7.89636724038369
X45,806.763571428571,8.83634316084395
X46,1249.69035714286,7.37445399302771
X47,1015.24535714286,7.67472947611562
X48,1252.41214285714,7.13113051393924
X49,781.528928571429,9.00983042197342
X50,847.779285714286,8.73388064226364
X51,781.266428571429,9.03205348186883
X52,848.961428571429,8.72899354100499
X53,777.055,9.07159852106124
X54,901.005357142857,8.44451836910376
X55,1042.00928571429,7.5613878738785
X56,891.890714285714,8.47483906248329
X57,817.553214285714,8.88719248393271
X58,949.697857142857,8.14784379444569
X59,1272.57,6.81861752376675
X60,932.000357142857,8.29822478960144
X61,1294.82464285714,6.68824068044015
X62,779.459285714286,9.05814393185974
X63,1227.5225,7.43051485087635
X64,1254.6125,7.38880345246115
X65,1264.5325,6.8731676825682
X66,1322.39678571429,6.91485450151316
X67,1102.27607142857,7.30621447552747
X68,964.845357142857,8.02164492102702
X69,779.966071428571,8.99561437981885
X70,1076.1075,7.42266331953846
X71,1302.34392857143,7.22331212772556
X72,1300.58035714286,7.15949132740902
X73,1335.12392857143,7.00840671350507
X74,978.227142857143,7.94105140194411
X75,1329.095,7.07130002780362
X76,770.001428571429,9.08049106273994
X77,1251.31142857143,6.89015683915605
X78,766.415714285714,8.99773303177098
X79,989.778571428571,7.90057305401388
X80,1321.16,7.16092734165303
X81,1350.37,6.88130450044379
X82,1241.08607142857,7.33622912055008
X83,1260.8875,6.92937988033749
X84,846.161785714286,8.74413316865035
X85,732.71,9.2007344620534
X86,791.299285714286,8.90929885417001
X87,808.990714285714,8.90759032701336
X88,1011.56892857143,7.76575722894143
X89,987.536071428571,7.98539202036081
X90,1360.9175,6.74079569952841
X91,1229.08071428571,6.98997700587084
X92,1033.28571428571,7.70197049340733
X93,1256.49321428571,7.37399626789858
X94,1057.28,7.53816086266081
X95,1036.985,7.67352694812486
X96,764.734642857143,9.00669950434699
X97,1174.21142857143,7.07665667073027
X98,713.584642857143,9.32209175729578
X99,1131.98607142857,7.21736550533081
X100,1028.5225,7.743562772021
X101,1230.96535714286,7.31481285757061
X102,1393.48964285714,6.85994651278432
X103,1028.81714285714,7.76402652305027
X104,758.387142857143,9.09936766278485
X105,968.251428571429,8.11217741116208
X106,1240.32428571429,6.9050383877108
X107,773.240357142857,9.04887382502968
X108,1260.76464285714,6.81624193427652
X109,1435.0175,6.4905743987467
X110,1312.39571428571,6.59775626383497
X111,1213.78142857143,6.99209944873975
X112,1343.03785714286,6.93123513040968
X113,774.343214285714,8.97572385657609
X114,1223.84357142857,7.37596732807203
X115,1425.92464285714,6.69736476746549
X116,1072.62285714286,7.46090125169763
X117,891.803571428571,8.51073602600708
X118,698.031785714286,9.41663104060398
X119,1200.4125,7.0280330381872
X120,1276.86392857143,6.75818725738667
X121,1061.51107142857,7.55129353672751
X122,1113.39892857143,7.31149562627656
X123,1207.5575,7.07849016446911
X124,1183.64642857143,7.08418935067851
X125,1341.3625,6.83719383133896
X126,1210.96357142857,7.3062704410082
X127,1293.21392857143,6.69845149070183
X128,1036.67178571429,7.73276104926588
X129,1586.8725,6.39669503170682
X130,1679.24142857143,6.20851258381188
X131,1489.92821428571,6.2926065413365
X132,1145.36107142857,7.20179981125619
X133,1757.72035714286,6.00318766107386
X134,1431.76857142857,6.34348768887748
X135,1209.50035714286,7.0227257974827
X136,752.873214285714,9.06977283105023
X137,697.864642857143,9.43362040839242
X138,1642.43214285714,6.35636748901222
X139,811.039285714286,8.85901620095602
X140,1486.89214285714,6.48053358891277
X141,1379.51571428571,6.62032262626587
X142,1500.49321428571,6.39924877022446
X143,1159.90357142857,7.17426586677788
X144,759.4075,9.08088924801899
X145,737.596428571429,9.17874254916429
X146,1276.26178571429,6.73905479184712
X147,1075.18821428571,7.48863535016522
X148,1273.36071428571,6.77840827478532
X149,750.085714285714,9.09744361479153
X150,1173.31214285714,7.27221598066579
X151,1608.84071428571,6.4184716830815
X152,694.259285714286,9.45661299498465
X153,1504.30428571429,6.34000862714275
X154,1361.7875,6.9264050105333
X155,1508.82892857143,6.198668492616
X156,846.212142857143,8.65383356057447
X157,1341.62357142857,7.06874246896153
X158,1166.09642857143,7.46478152235518
X159,1105.17321428571,7.38762859976688
X160,842.676428571429,8.73097582689038
X161,705.913214285714,9.36717768652487
X162,1313.90464285714,7.16829104509533
X163,1082.53821428571,7.49938741672281
X164,1247.44142857143,7.37362828697614
X165,932.109642857143,8.29330840899126
X166,1126.37535714286,7.32399966047501
X167,765.4575,8.9916385662956
X168,1531.84464285714,6.54911319281811
X169,1390.78642857143,6.85681524226578
X170,695.921428571429,9.46959810668035
X171,1501.7425,6.71717841636992
X172,1112.50928571429,7.38077240864907
X173,745.237857142857,9.12865282099815
X174,1404.67,6.8344451894389
X175,1178.70892857143,7.58224277907884
X176,1525.80857142857,6.15005906130698
X177,1247.17107142857,6.88782920021815
X178,1654.26642857143,6.40882856928983
X179,819.807142857143,8.76144787623111
X180,757.590714285714,9.05606712970389
X181,1151.32142857143,7.39709741693668
X182,965.561428571429,8.10418184102745
X183,1156.79357142857,7.59715369520815
X184,1390.61035714286,6.89625478810433
X185,718.112142857143,9.24761504550169
X186,692.738214285714,9.50321853111332
X187,907.607857142857,8.39959835798231
X188,781.660714285714,8.90157340690599
X189,1250.765,6.88902211724573
X190,723.757857142857,9.20364809170917
X191,1071.38821428571,7.53833786746228
X192,677.824642857143,9.64105563397603
X193,1624.65321428571,6.48367354806284
X194,1006.15392857143,7.89684368750869
X195,1498.09107142857,6.46706858137371
X196,1206.60678571429,7.01487206324254
X197,668.343571428571,9.72465612267813
X198,786.017142857143,8.87721595660496
X199,870.658571428571,8.5734216258702
X200,1557.88107142857,6.09461391998973
X201,1586.06285714286,6.50515798605541
X202,698.612142857143,9.42718102295937
X203,1132.20214285714,7.32771238223562
X204,1064.07071428571,7.58825557676473
X205,671.9825,9.73461748901222
X206,1231.87285714286,6.99929751478404
X207,1268.10714285714,6.78299181129896
X208,1715.95142857143,6.27057656689444
X209,721.432142857143,9.2119717686311
X210,723.8025,9.26395442612257
X211,1035.365,7.73699055211575
X212,1202.92714285714,7.15403350336317
X213,1566.25571428571,6.52663732047951
X214,1490.675,6.28864275020585
X215,1255.01035714286,6.82786453755093
X216,696.882142857143,9.46802841583523
X217,1217.39178571429,7.00048372418808
X218,1631.45071428571,6.6104897367211
X219,665.358571428571,9.70559727257173
X220,1402.72857142857,7.0438590677232
X221,1465.67285714286,6.40600265471111
X222,1198.32035714286,7.55482457251933
X223,902.812857142857,8.39846074609947
X224,762.752142857143,9.00024302236053
X225,745.270714285714,9.13500645899501
X226,1244.07535714286,6.88690903403805
X227,1108.77714285714,7.45192512538364
X228,1141.33071428571,7.31655985531423
X229,906.585357142857,8.33911101665009
X230,1183.16821428571,7.1748676146632
X231,690.812857142857,9.52225126987692
X232,1459.68785714286,6.53348262006352
X233,1164.04392857143,7.22000169762493
X234,921.931785714286,8.29630496294633
X235,1141.69678571429,7.68025197833456
X236,660.9175,9.65919743244255
X237,1608.51821428571,6.55943763166619
X238,693.558928571429,9.52596977692941
X239,724.62,9.19304533861602
X240,1188.185,7.11758859730733
X241,696.561428571429,9.45376057339621
X242,1064.17821428571,7.62420618256285
X243,1552.22178571429,6.72254731160373
X244,766.730714285714,8.98754641333291
X245,1214.42571428571,7.00281517275673
X246,1207.22857142857,7.06825680119342
X247,677.474642857143,9.62345067263375
X248,1665.90214285714,6.53921603146087
X249,1072.60321428571,7.53155763637141
X250,662.367142857143,9.69807643857004
X251,1431.90178571429,7.01734226257312
X252,952.901785714286,8.14457199801097
X253,680.400714285714,9.65383922021537
X254,1133.35392857143,7.57359448953621
X255,1253.79607142857,7.41467444366024
X256,712.208214285714,9.33860639429812
X257,780.6,8.9035814325281
X258,1102.41,7.48490645150942
X259,766.385714285714,9.00067680162116
X260,745.725357142857,9.08444325922599
X261,1323.79928571429,7.19227584667372
X262,1062.83821428571,7.58544393560254
X263,1509.0375,6.67094626682921
X264,1526.60392857143,6.85027836236673
X265,1661.14964285714,6.6685024836119
X266,992.110357142857,7.94708969073819
X267,662.532857142857,9.7268627650701
X268,1734.70785714286,6.75153105985264
X269,1037.64785714286,7.75233561911178
X270,728.348928571429,9.17128104381209
X271,722.0075,9.28772768759424
X272,1355.59714285714,7.0324405216387
X273,670.057142857143,9.71353763380493
X274,690.865,9.52491366975715
X275,1182.69321428571,7.52565176232182
X276,1174.37607142857,7.33811104605777
X277,658.579285714286,9.68551751895458
X278,662.645,9.64145394757948
X279,1767.62607142857,6.33973186615765
X280,857.573214285714,8.5384428341514
X281,753.210714285714,9.08100371606087
X282,1409.99142857143,6.86951040497043
X283,710.269285714286,9.26753158384396
X284,1762.6475,6.2056048998535
X285,1574.295,6.17930850790799
X286,1096.03071428571,7.51583176670623
X287,662.686428571429,9.71302656315165
X288,657.077857142857,9.71059556959995
X289,1570.21428571429,6.82811021729599
X290,749.032142857143,9.08271694577225
X291,1051.98607142857,7.65963355629699
X292,1498.69642857143,6.9588150631463
X293,666.634285714286,9.73510525274561
X294,1591.88571428571,6.14877849336456
X295,1257.8775,7.30840471378311
X296,1477.28857142857,6.62229063338787
X297,1128.51571428571,7.64737451744677
X298,724.554285714286,9.19608665372729
X299,667.029642857143,9.75389135467796
X300,696.808214285714,9.59572511308588
X301,860.122857142857,8.52014597435651
X302,673.624285714286,9.78744389817459
X303,663.242142857143,9.6882993861816
X304,1619.50071428571,6.00088037492113
X305,1527.55535714286,6.43390782564991
X306,1327.06607142857,7.05768294515201
X307,1193.76321428571,7.49418789098842
X308,695.516785714286,9.48637095109771
X309,680.716071428571,9.66793399848149
X310,671.503214285714,9.74897389400404
X311,1214.85821428571,7.25591414562681
X312,1569.41607142857,6.26072393677884
X313,1031.69214285714,7.80142512271021
X314,694.665,9.61698160950884
X315,1628.77321428571,6.75711276774352
X316,718.993571428571,9.22936377295135
X317,681.198928571429,9.66931156897971
X318,673.240357142857,9.62691558392951
X319,691.680714285714,9.81617496230471
X320,1649.09678571429,5.9729662052335
X321,675.432142857143,9.62997361864126
X322,685.369642857143,9.87942900987029
X323,1052.27821428571,7.6480141531124
X324,670.96,9.77377928469839
X325,673.410357142857,9.68354086330243
X326,678.834285714286,9.80519180220932
X327,669.092142857143,9.685477107461
X328,668.693928571429,9.67087026670089
X329,667.210714285714,9.67737306845038
X330,1036.29928571429,7.74876406221595
X331,945.455714285714,8.14839856223199
X332,684.702142857143,9.87385651727567
X333,1468.54357142857,6.61258261952884
X334,671.730357142857,9.79756742378065
X335,685.894285714286,9.8016989188669
X336,692.165,9.48070768770117
X337,696.082857142857,9.54003528386428
X338,671.985,9.64864968507053
X339,1007.13821428571,7.94714064354689
X340,1614.70285714286,6.21640225155861
X341,1159.95678571429,7.58233879246736
X342,693.608214285714,9.59402541892571
X343,661.954285714286,9.68367006458995
X344,1409.65857142857,6.75453217199748
X345,1071.9275,7.67509305123352
X346,776.391785714286,8.92743921166041
X347,713.914285714286,9.26191855410478
X348,1286.74642857143,6.76450980612321
X349,685.385,9.90060414862105
X350,1477.91464285714,7.13932938201106
X351,701.929642857143,9.41436020392887
X352,1537.29607142857,6.4783244629089
X353,663.200714285714,9.6935382593864
X354,1283.83785714286,7.32094747254392
X355,1594.80535714286,6.81648893469357
X356,1237.45107142857,6.99074962572049
X357,1028.65285714286,7.76518763701304
X358,662.4625,9.69591294525895
X359,1645.99714285714,6.83138132398704
X360,1753.08285714286,6.57753728625966
X361,1651.93857142857,5.87683347235144
X362,683.405357142857,9.66793860479292
X363,721.047142857143,9.24986137756248
X364,1571.58964285714,6.96576943847379
X365,1036.12321428571,7.73616410552544
X366,712.656785714286,9.28418386481024
X367,691.1525,9.5294389336242
X368,687.348214285714,9.86281455786896
X369,1278.725,6.90854963213671
X370,1185.16785714286,7.20592402125908
X371,658.187142857143,9.70021182616321
X372,680.532857142857,9.80754998502882
X373,693.150714285714,9.53237229850395
X374,1835.40071428571,6.479913782041
X375,735.882857142857,9.20295256541871
X376,1005.34964285714,7.92409841412424
X377,690.593928571429,9.80740322201191
X378,1025.4175,7.87526096906312
X379,661.716428571429,9.70212841797397
X380,1198.09392857143,7.64085130409676
X381,1735.55142857143,6.44084073604739
X382,1024.90035714286,7.85520385133618
X383,1002.40535714286,7.89553329750944
X384,1205.58321428571,7.43513443050699
X385,677.465357142857,9.68432604824998
X386,689.743214285714,9.59959679135521
X387,694.1525,9.49093436206731
X388,692.671785714286,9.57073016318587
X389,1542.12892857143,6.92462369403185
X390,1775.20607142857,6.62633723920738
X391,660.027142857143,9.70113541967427
X392,685.181785714286,9.89582529167068
X393,711.978571428571,9.28091636724306
X394,693.857142857143,9.53865850469988
X395,688.9725,9.59675814057938
X396,1057.68357142857,7.7412288879621
X397,1220.22642857143,7.58763302428539
X398,1093.98571428571,7.60280912279576
X399,1107.19571428571,7.56401938233187
X400,675.406428571429,9.69407574615294
X401,1765.03857142857,6.65326597371488
X402,1138.33964285714,7.42079881674206
X403,1053.98392857143,7.83014160865334
X404,680.155714285714,9.80148908440538
X405,1560.57535714286,7.05334850769412
X406,769.1025,8.98513312320212
X407,1615.49285714286,6.91767805545753
X408,724.972142857143,9.2630039539957
X409,1243.45535714286,7.03872754590271
X410,720.7175,9.26997272571728
X411,1586.87892857143,6.56340948317346
X412,898.93,8.33832322778651
X413,978.868214285714,8.0058831419161
X414,1045.26357142857,7.81864801685327
X415,685.325714285714,9.62749716616941
X416,663.911785714286,9.69776335643173
X417,696.951071428571,9.45378970303594
X418,1011.56357142857,7.87592976377616
X419,1674.90821428571,5.97967807951836
X420,1538.45535714286,6.44029413290131
X421,688.527857142857,9.80693507854523
X422,666.5475,9.70519506378792
X423,689.070357142857,9.85247813940308
X424,669.176785714286,9.69453513415247
X425,829.341071428571,8.66005066942564
X426,1206.48892857143,7.63323314940169
X427,690.798214285714,9.56952157454044
X428,1565.85892857143,7.07657452974453
X429,673.894285714286,9.6647122726252
X430,726.148214285714,9.2669874776769
X431,1642.65892857143,6.35085220771444
X432,1591.19107142857,7.08012458962925
X433,968.454285714286,8.03049513971319
X434,987.559285714286,8.04108350977939
X435,681.190714285714,9.65093542876392
X436,1226.36178571429,7.18859644648338
X437,981.375714285714,7.98752056131233
X438,666.166428571429,9.69483563515233
X439,670.4775,9.67953437757317
X440,1759.13607142857,6.71132268775464
X441,1029.95571428571,7.90316908076952
X442,1007.32464285714,7.88482319303198
X443,675.745,9.67389574711537
X444,1559.37321428571,7.04796603146087
X445,1654.23285714286,6.07585748238213
X446,983.780357142857,8.11783802252093
X447,1596.7725,6.26542035866671
X448,689.709642857143,9.54830256755745
