"subbasin","opcat_id","opcat_name"
7219,3507,"Upper Wharfe"
7220,3507,"Upper Wharfe"
7221,3311,"Middle Derwent Yorkshire"
7222,3497,"Upper Nidd"
7223,3311,"Middle Derwent Yorkshire"
7224,3311,"Middle Derwent Yorkshire"
7225,3507,"Upper Wharfe"
7226,3309,"Middle and Lower Ure"
7227,3311,"Middle Derwent Yorkshire"
7228,3190,"Foss"
7229,3499,"Upper Ouse Yorkshire"
7230,3507,"Upper Wharfe"
7231,3309,"Middle and Lower Ure"
7232,3507,"Upper Wharfe"
7233,3507,"Upper Wharfe"
7234,3497,"Upper Nidd"
7235,3497,"Upper Nidd"
7236,3311,"Middle Derwent Yorkshire"
7237,3309,"Middle and Lower Ure"
7238,3499,"Upper Ouse Yorkshire"
7239,3311,"Middle Derwent Yorkshire"
7240,3311,"Middle Derwent Yorkshire"
7241,3311,"Middle Derwent Yorkshire"
7242,3499,"Upper Ouse Yorkshire"
